user_email,logins_7d,logins_30d,features_used,api_calls_30d,last_login_days,session_avg_min,pages_viewed_30d
steven.wilson4@fastmail.com,10,50,5,305,7,20,466
amanda.wilson1@proton.me,8,35,6,2470,3,16,287
betty.allen93@fastmail.com,1,2,3,93,72,1,6
thomas.williams9@proton.me,11,48,7,12183,3,18,205
jennifer.rodriguez18@company.co,8,42,9,6221,0,27,678
barbara.scott89@outlook.com,15,81,5,9604,3,20,1417
margaret.walker58@proton.me,22,120,10,44805,1,25,1305
carol.martin65@fastmail.com,6,29,6,1394,1,16,146
daniel.king60@fastmail.com,35,174,15,27136,1,43,1514
sandra.taylor56@outlook.com,6,40,3,3430,4,10,285
michelle.taylor5@proton.me,16,130,15,11903,1,16,619
betty.anderson19@fastmail.com,0,2,1,39,140,3,4
